category,question,answer,option1,option2,option3,option4
english_to_formula,Copper(II) sulfate,CuSO4,CuSO4,Cu2SO4,CuSO3,CuS
english_to_formula,Zinc oxide,ZnO,ZnO,ZnO2,Zn2O,ZnOH
english_to_formula,Silver nitrate,AgNO3,AgNO3,AgNO2,AgN3,Ag2NO3
english_to_formula,Lead(II) nitrate,Pb(NO3)2,Pb(NO3)2,PbNO3,Pb(NO2)2,PbN2O6
english_to_formula,Sodium hypochlorite,NaClO,NaClO,NaClO2,NaClO3,NaCl
english_to_formula,Potassium permanganate,KMnO4,KMnO4,K2MnO4,KMnO3,KMnO2
english_to_formula,Hydrobromic acid,HBr,HBr,HCl,HI,H2Br
english_to_formula,Hypophosphorous acid,H3PO2,H3PO2,H3PO3,H3PO4,H3P2O6
english_to_formula,Formic acid,HCOOH,HCOOH,CH3COOH,CH3CHO,HCOOCH3
english_to_formula,Nitrous acid,HNO2,HNO2,HNO3,H3NO2,H2NO2
english_to_formula,Hydrofluoric acid,HF,HF,HCl,HBr,H2F2
english_to_formula,Phosphorous acid,H3PO3,H3PO3,H3PO4,H3PO2,H4P2O5
english_to_formula,Sulfurous acid,H2SO3,H2SO3,H2SO4,H2S,H2S2O5
english_to_formula,Calcium chloride,CaCl2,CaCl2,CaCl,CaCl3,Ca2Cl2
english_to_formula,Magnesium sulfate,MgSO4,MgSO4,MgS,MgSO3,Mg2SO4
english_to_formula,Aluminum oxide,Al2O3,Al2O3,AlO,AlO3,Al2O
english_to_formula,Potassium hydroxide,KOH,KOH,K2O,KOH2,KOH3
english_to_formula,Sodium nitrite,NaNO2,NaNO2,NaNO3,NaNO,NaN2O2
english_to_formula,Copper(I) oxide,Cu2O,Cu2O,CuO,CuO2,Cu2O3
english_to_formula,Manganese(IV) oxide,MnO2,MnO2,Mn2O3,MnO,Mn2O7
english_to_formula,Ammonium sulfate,(NH4)2SO4,(NH4)2SO4,NH4SO4,NH4)2SO3,(NH4)2SO3
english_to_formula,Sodium thiosulfate,Na2S2O3,Na2S2O3,Na2SO3,NaS2O3,Na2S2O4
english_to_formula,Hydrogen sulfide,H2S,H2S,H2SO3,H2SO4,H2S2
english_to_formula,Calcium nitrate,Ca(NO3)2,Ca(NO3)2,CaNO3,Ca(NO2)2,CaN2O6
english_to_formula,Boric acid,H3BO3,H3BO3,H3BO2,H3B2O3,H4BO4
english_to_formula,Sodium phosphate,Na3PO4,Na3PO4,Na2PO4,NaH2PO4,Na2HPO4
english_to_formula,Potasium bicarbonate,KHCO3,KHCO3,K2CO3,KOH,KHCO2
english_to_formula,Chromium(III) oxide,Cr2O3,Cr2O3,CrO,CrO3,CrO2
english_to_formula,Nickel(II) sulfate,NiSO4,NiSO4,NiS,NiSO3,Ni2SO4
english_to_formula,Zinc sulfate,ZnSO4,ZnSO4,ZnS,ZnSO3,Zn2SO4
english_to_formula,Iron(II) sulfate,FeSO4,FeSO4,Fe2(SO4)3,FeSO3,FeS
english_to_formula,Lead(II) oxide,PbO,PbO,PbO2,Pb2O,Pb2O3
english_to_formula,Silver oxide,Ag2O,Ag2O,AgO,AgO2,Ag2O3
english_to_formula,Hydrogen cyanide,H CN,H CN,H CN2,H2C,H3CN
english_to_formula,Sodium cyanide,NaCN,NaCN,NaC2,NaC,NH4CN
english_to_formula,Potassium cyanide,KCN,KCN,K2CN,KHCN,KNC
english_to_formula,Ammonium nitrate,NH4NO3,NH4NO3,NH4NO2,N2H4O3,NH3NO3
english_to_formula,Calcium phosphate,Ca3(PO4)2,Ca3(PO4)2,Ca(PO4)2,Ca2(PO4)3,Ca3(PO3)2
english_to_formula,Magnesium nitrate,Mg(NO3)2,Mg(NO3)2,MgNO3,Mg(NO2)2,Mg2(NO3)2
formula_to_english,H2O,Dihydrogen monoxide,Dihydrogen monoxide,Hydrogen oxide,Hydrogen peroxide,Hydroxide
formula_to_english,CO2,Carbon dioxide,Carbon dioxide,Carbon monoxide,Carbon trioxide,Carbon oxide
formula_to_english,NaCl,Sodium chloride,Sodium chloride,Sodium chlorate,Sodium chlorite,Sodium hydron
formula_to_english,CaCO3,Calcium carbonate,Calcium carbonate,Na2CO3,K2CO3,MgCO3
formula_to_english,KNO3,Potassium nitrate,Potassium nitrate,Potassium nitric,Potassium nitraous,Potassium nitrated
formula_to_english,H2SO4,Sulfuric acid,Sulfuric acid,Sulfurous acid,H2S,Hydrosulfuric acid
formula_to_english,CH4,Methane,Methane,Methyl,Ethane,Propane
formula_to_english,NH3,Nitrogen trihydride,Nitrogen trihydride,Ammonia,Nitric oxide,Nitrous oxide
formula_to_english,NaHCO3,Sodium hydrogen carbonate,Sodium hydrogen carbonate,Sodium carbonate,Sodium hydroxide,Sodium hypochlorite
formula_to_english,HCl,Hydrogen chloride,Hydrogen chloride,Hydrochloric acid,Chlorous acid,Chloric acid
formula_to_english,NaOH,Sodium hydroxide,Sodium hydroxide,Sodium oxide,Sodium hydride,Sodium hypochlorite
formula_to_english,CH3COOH,Ethanoic acid,Ethanoic acid,Acetic acid,Formic acid,Propionic acid
formula_to_english,Fe2O3,Iron(III) oxide,Iron(III) oxide,Iron(II) oxide,Ferric hydroxide,Iron oxide
formula_to_english,C2H5OH,Ethanol,Ethanol,Methanol,Propanol,Butanol
formula_to_english,C6H12O6,Glucose,Glucose,Fructose,Sucrose,Lactose
formula_to_english,KCl,Potassium chloride,Potassium chloride,Potassium chlorate,Potassium hydride,Potassium hydroxide
formula_to_english,Na2SO4,Sodium sulfate,Sodium sulfate,Sodium sulfite,Sodium sulfide,Sodium bisulfate
formula_to_english,Ca(OH)2,Calcium hydroxide,Calcium hydroxide,Calcium oxide,Calcium peroxide,Calcium carbonate
formula_to_english,HNO3,Nitric acid,Nitric acid,Nitrous acid,Hydroxynitric acid,Nitric oxide
formula_to_english,Na2CO3,Sodium carbonate,Sodium carbonate,Sodium bicarbonate,Sodium oxide,Sodium chlorate
formula_to_english,H3PO4,Phosphoric acid,Phosphoric acid,Phosphorous acid,HPO3,H4P2O7
formula_to_english,BaSO4,Barium sulfate,Barium sulfate,Barium sulfide,BaSO3,BaS2O8
formula_to_english,Mg(OH)2,Magnesium hydroxide,Magnesium hydroxide,MgO,MgO2,MgH2
formula_to_english,H2O2,Hydrogen peroxide,Hydrogen peroxide,H2O,H2O3,HO2
formula_to_english,NH4Cl,Ammonium chloride,Ammonium chloride,NH3Cl,N2H5Cl,NH4Br
formula_to_english,CuSO4,Copper(II) sulfate,Copper(II) sulfate,Cu2SO4,CuSO3,CuS
formula_to_english,ZnO,Zinc oxide,Zinc oxide,ZnO2,Zn2O,ZnOH
formula_to_english,AgNO3,Silver nitrate,Silver nitrate,AgNO2,AgN3,Ag2NO3
formula_to_english,Pb(NO3)2,Lead(II) nitrate,Lead(II) nitrate,PbNO3,Pb(NO2)2,PbN2O6
formula_to_english,NaClO,Sodium hypochlorite,Sodium hypochlorite,NaClO2,NaClO3,NaCl
formula_to_english,KMnO4,Potassium permanganate,Potassium permanganate,K2MnO4,KMnO3,KMnO2
